index;x;y;z
301;-1.030914;-1.165009;0.089935
302;-0.417297;-0.762253;0.034256
303;-0.204025;-0.878052;0.065231
304;-0.189331;-0.071106;0.098358
305;-0.217743;0.085800;-0.017181
306;-0.292267;-0.386978;-0.660309
307;-1.320663;-1.027939;-1.497391
308;0.098419;-0.694778;-1.185013
309;-1.191315;-0.662292;0.772537
310;-0.236465;-0.056915;0.338074
311;-0.729904;-0.684906;0.617844
312;-0.617859;-1.404480;0.243149
313;-0.012222;-0.854080;-0.400482
314;-0.393127;-0.590912;0.046768
315;-0.268066;-0.714523;0.153931
316;-0.429932;-0.705078;-0.415817
317;-0.300720;-1.179398;-0.158173
318;0.024063;-1.217728;0.023636
319;-0.431946;-1.544846;-0.154831
320;-0.597946;-1.197235;0.280960
321;-1.138794;-1.145950;0.361145
322;-1.125168;-1.338013;0.094559
323;-0.452820;-0.740265;-0.062317
324;-0.134293;-0.810822;0.139893
325;-0.106705;-0.094345;0.042892
326;-0.279449;0.039597;0.080841
327;-0.313293;-0.232529;-0.490967
328;-1.141693;-1.142242;-1.842560
329;-0.186569;-0.764420;-1.107635
330;-1.607269;-1.463058;0.263611
331;-0.414154;0.453293;-0.483368
332;-0.725601;-0.956726;0.273651
333;-0.488647;-1.421097;-0.010544
334;-0.181381;-0.810867;-0.077377
335;-0.418533;-0.627029;-0.190155
336;-0.200241;-0.739456;0.212540
337;-0.297272;-0.608307;-0.306976
338;-0.459244;-1.129440;0.008835
339;-0.150879;-1.221375;-0.038223
340;-0.503647;-1.317169;-0.380966
341;-0.310287;-1.520996;0.334442
342;-1.142319;-0.867722;0.228317
343;-1.215134;-1.449066;-0.007889
344;-0.474548;-0.906921;-0.112305
345;-0.242828;-0.978821;0.127823
346;-0.160324;-0.225037;0.141235
347;-0.253479;0.140747;0.040421
348;-0.220413;-0.175644;-0.264297
349;-0.406372;-0.833908;-1.504700
350;-1.330658;-1.256546;-1.126511
351;-0.251389;-0.394745;-0.682098
352;-0.745422;-1.485352;0.275909
353;-0.574097;-0.591309;0.738739
354;-0.686539;-0.974808;0.187073
355;-0.225082;-1.275070;-0.212738
356;-0.248077;-0.609451;-0.083817
357;-0.372971;-0.647095;-0.094269
358;-0.213913;-0.689362;0.061493
359;-0.577103;-1.003601;-0.156387
360;-0.228104;-1.077667;-0.147385
361;-0.139648;-1.366852;-0.089462
362;-0.338623;-1.721191;0.279068
363;-0.849121;-0.888351;0.111298
364;-1.228333;-1.416122;0.074890
365;-0.685715;-0.965866;-0.110001
366;-0.110519;-0.965698;0.117584
367;-0.173004;-0.479507;0.195343
368;-0.328140;0.098785;0.058945
369;-0.180893;-0.101410;-0.171524
370;-0.330139;-0.540924;-1.070435
371;-1.201187;-1.464615;-1.189224
372;0.223267;0.039658;-1.315247
373;-2.666855;-1.760895;-0.388321
374;-0.126892;0.464355;-0.188965
375;-0.675476;-0.948853;0.178146
376;-0.380493;-1.744446;-0.263672
377;-0.311493;-0.646759;-0.021240
378;-0.445450;-0.541153;-0.041534
379;-0.116364;-0.723343;0.388596
380;-0.615463;-0.822876;-0.458527
381;-0.303513;-1.123199;-0.342667
382;0.093369;-1.332474;0.034149
383;-0.317184;-1.607361;0.055740
384;-0.594345;-1.244934;0.298370
385;-1.086884;-1.116104;0.336777
386;-0.951324;-1.300354;0.051880
387;-0.380386;-0.879608;-0.096939
388;-0.261383;-0.792435;0.038788
389;-0.263901;-0.052689;0.139420
390;-0.264877;-0.015152;-0.037506
391;-0.162003;-0.205414;-0.435898
392;-0.735840;-0.922241;-1.501984
393;-0.660004;-1.017471;-1.276825
394;-0.935989;-0.872574;-0.175766
395;-0.350510;0.070877;0.381363
396;-0.712067;-0.771301;0.903839
397;-0.602005;-1.274872;0.126663
398;-0.212357;-0.899490;-0.202576
399;-0.255402;-0.619095;-0.087677
400;-0.369736;-0.698837;-0.075394
401;-0.237244;-0.666672;0.058441
402;-0.689117;-1.024597;-0.084656
403;-0.143982;-1.249832;-0.155670
404;-0.146393;-1.283173;-0.197876
405;-0.369812;-1.488922;0.227493
406;-0.985214;-0.857666;0.026825
407;-1.182281;-1.419205;0.069565
408;-0.650711;-1.006027;-0.107880
409;-0.350677;-0.998825;0.022064
410;-0.108612;-0.410599;0.291168
411;-0.258194;0.079697;0.074310
412;-0.241806;-0.096146;-0.130066
413;-0.416611;-0.523575;-1.082733
414;-0.991028;-1.237823;-1.108536
415;-0.363983;-0.292557;-1.055832
416;-1.275101;-1.776398;-0.283035
417;-0.663559;0.106171;0.098541
418;-0.490723;-1.087646;0.341644
419;-0.517227;-1.441376;-0.240189
420;-0.301529;-0.740540;-0.122284
421;-0.407227;-0.680954;-0.081406
422;-0.105133;-0.709045;0.346481
423;-0.628448;-0.674744;-0.528503
424;-0.091202;-1.160522;-0.089127
425;-0.009079;-1.224045;0.025970
426;-0.649963;-1.297119;-0.180405
427;-0.228500;-1.437027;0.446991
428;-1.090958;-0.996887;0.420944
429;-1.135071;-1.323517;-0.002426
430;-0.570801;-0.892944;-0.026306
431;-0.239197;-1.077698;0.070541
432;-0.102997;-0.209991;0.188141
433;-0.242661;0.133514;0.041870
434;-0.144012;-0.154587;-0.340851
435;-0.525436;-0.886169;-1.525742
436;-0.896194;-1.240829;-1.047516
437;-0.525192;-0.473022;-0.628052
438;-0.416763;-0.649658;0.669617
439;-0.762741;-0.602539;1.011520
440;-0.623474;-1.202133;0.189636
441;-0.253082;-1.165375;-0.253006
442;-0.305237;-0.568085;-0.169357
443;-0.399658;-0.659302;-0.105865
444;-0.093018;-0.728165;0.127625
445;-0.621368;-0.924088;-0.121445
446;-0.285263;-1.180801;-0.251801
447;0.151459;-1.408768;0.078552
448;-0.298492;-1.756577;0.243515
449;-0.918945;-0.807632;0.128021
450;-1.231812;-1.316940;0.178329
451;-0.777756;-1.133789;0.040176
452;-0.185989;-1.019882;0.031647
453;-0.308746;-0.665451;0.086624
454;-0.255569;0.004715;0.093811
455;-0.196640;0.045898;-0.094833
456;-0.230515;-0.344696;-0.670059
457;-1.046158;-1.294601;-1.346436
458;-0.397995;-0.566895;-1.001923
459;-1.401245;-1.199890;0.156647
460;-0.321579;0.220810;0.016510
461;-0.696854;-0.836609;0.471786
462;-0.608658;-1.405807;0.135132
463;-0.202698;-0.863129;-0.233994
464;-0.310822;-0.642212;-0.045959
465;-0.334488;-0.742920;-0.065826
466;-0.240417;-0.606216;-0.124634
467;-0.486298;-1.086273;-0.041733
468;-0.290344;-1.109512;-0.230515
469;0.040436;-1.361618;0.036285
470;-0.348480;-1.576218;0.165726
471;-0.707336;-1.054657;0.288940
472;-1.267136;-1.247025;0.235031
473;-0.873077;-1.132767;0.049225
474;-0.428207;-0.784424;0.008667
475;-0.222000;-0.781219;0.136978
476;-0.271942;-0.039825;0.103500
477;-0.212112;-0.022034;-0.078079
478;-0.269424;-0.300217;-0.693558
479;-0.994781;-1.340027;-1.311981
480;-0.252380;-0.452255;-1.078735
481;-1.261597;-0.639877;0.431732
482;0.024887;-0.356384;0.780273
483;-0.629929;-0.634430;0.664429
484;-0.621826;-1.506470;0.182297
485;-0.145950;-0.794968;-0.328217
486;-0.434540;-0.578018;0.051102
487;-0.302185;-0.663986;0.084320
488;-0.313309;-0.679428;-0.178131
489;-0.510880;-1.089111;-0.179810
490;-0.273071;-1.136169;-0.103424
491;-0.111435;-1.258545;-0.191681
492;-0.303543;-1.491302;0.286087
493;-0.992630;-1.040863;0.240326
494;-1.251511;-1.415176;0.067535
495;-0.558334;-1.031601;-0.114731
496;-0.339523;-0.984604;0.121277
497;-0.150085;-0.305176;0.169495
498;-0.253967;0.085510;0.096176
499;-0.225555;-0.139999;-0.165405
500;-0.240738;-0.591797;-1.079025
501;-1.449158;-1.561935;-1.291061
502;-0.243607;-0.050186;-0.754196
503;-1.817566;-1.996490;-0.821777
504;-0.392136;-0.082703;-0.099716
505;-0.661346;-0.947723;0.284988
506;-0.410385;-1.457291;-0.291840
507;-0.299500;-0.693954;-0.298126
508;-0.418182;-0.599075;-0.062881
509;-0.151764;-0.733749;0.155655
